,author,counts,date,sometext,time,title
0,Юрий Мелков,   9  , 12.08.2018 в 12:00 ," Год назад в Нью-Йорке произошло на редкость жестокое и бессмысленное преступление, унесшее жизни нескольких человек. Определение личности подозреваемого никаких проблем не составило:…", Обновлено: 12.08.2018 в 11:26 , Unavowed: «партийная» детективная адвенчура
1,Олег Данилов,   13  , 12.08.2018 в 11:16 ," Австралийский минисериал Picnic at Hanging Rock – уже вторая, после фильма 1975 г., экранизация романа классика австралийской литературы Джоан Линдсей. Это мистическая история о пропавших девочках и…", Обновлено: 12.08.2018 в 11:16 , Picnic at Hanging Rock / «Пикник у Висячей скалы»
2,Олег Данилов,   16  , 12.08.2018 в 10:00 ," Supremacy – уже второе в этом году большое контентное дополнение к Endless Space 2 после январского Vaulters, которое добавляет в игру новую, десятую фракцию, а также новые механики и юниты, существенно…", Обновлено: 12.08.2018 в 14:20 , Endless Space 2 – Supremacy: Путь чести
3,Роман Мельниченко,   229  , 11.08.2018 в 12:00 ," Да, это Alfa Romeo Giulia Veloce! Наше свидание продолжительностью всего в один день. Но станет ли этот день самым запоминающимся за все лето? Ведь у этой «красотки» есть все, чтобы влюбить в себя с…", Обновлено: 11.08.2018 в 21:21 ," Alfa Romeo Giulia: привет, красотка!"
4,Дмитрий Курятник,   28  , 11.08.2018 в 11:00 ," Выхода третьей части нордического эпоса The Banner Saga пришлось ждать больше двух лет, но ожидание того стоило. Заключительная часть истории получилась именно такой, какой мы хотели ее видеть —…", Обновлено: 10.08.2018 в 22:57 , The Banner Saga 3 — Конец пути
5,Олег Данилов,   74  , 11.08.2018 в 10:00 ," When I Kissed the Teacher, Waterloo, Dancing Queen, Mamma Mia, Super Trouper, SOS, Money, Money, Money – это музыка моего детства. Так что я несомненно предвзят в отношении Mamma Mia! Here We Go Again, впрочем, и без всякой предвзятости – это очень…", Обновлено: 10.08.2018 в 22:08 , Mamma Mia! Here We Go Again / Мамма Миа! 2
6,Олег Данилов,   26  , 11.08.2018 в 09:00 ," Лето 2018. Discovery Channel запускает юбилейную, тридцатую (!) по счету «Неделю акул», а мы отправляемся в кино, чтобы пощекотать себе нервы очередным блокбастером про смертельную схватку людей и…", Обновлено: 11.08.2018 в 12:53 , The Meg / «Мег»
7,Вадим Карпусь,   59  , 10.08.2018 в 17:33 ," Актёр Роберт Патрик в настоящее время снимается в украинском фильме «Захар Беркут», но в то же время активно готовится к неназванному «секретному проекту». Ресурс The Terminator Fans высказывает…", Обновлено: 11.08.2018 в 09:21 , Роберт Патрик может присоединиться к актёрскому составу нового «Терминатора»
8,Вадим Карпусь,   45  , 10.08.2018 в 17:29 ," «ПриватБанк» сообщил о том, что он упростил процедуру подключения торговцам виртуальных POS-терминалов PrivatPayBot, с помощью которых можно принимать оплату товаров и услуг в безналичной форме…", Обновлено: 10.08.2018 в 16:42 ,Технологии Huawei
9,Вадим Карпусь,   152  , 10.08.2018 в 17:03 , Украинский технологический стартап LimpidArmor уже около двух лет занимается разработкой системы модернизации тяжелой бронированной техники – Land Platform Modernization Kit. Команда подготовила уже третью…, Обновлено: 10.08.2018 в 16:36 ,Huawei и Leica: как тандем компаний делает камеры в смартфонах лучше
