,title,date,time,author,counts,sometext,category,Date
0,LG представила в Украине серию мониторов E42,21.03.2012/18:20,Обновлено: 21.03.2012 в 17:33,ITC.UA,28,"Компания LG сообщила о доступности на украинском рынке новой серии компьютерных мониторов E42, которая отличается стильным дизайном и улучшенными технологиями энергосбережения. Новая серия…","
Новости
",06:20 PM 21/03/2012
1,Стали известны некоторые функции Microsoft Outlook 15,21.03.2012/17:31,Обновлено: 23.03.2012 в 09:27,ITC.UA,26,"Появилась информация о некоторых функциональных возможностях, которые будут реализованы в новой версии программ Microsoft Outlook 15. Отмечается, что Outlook 15 будет входить в состав нового офисного…","
Новости
",05:31 PM 21/03/2012
2,Apple может обойти Intel по объемам поставок мобильных чипов,21.03.2012/17:07,Обновлено: 28.03.2012 в 13:47,ITC.UA,18,Два года спустя после покупки производителя чипов Intrisity компания Apple может выйти на первое место среди поставщиков мобильных процессоров в мире. Согласно прогнозу исследовательской…,"
Новости
",05:07 PM 21/03/2012
3,Видеообзор планшета Apple New iPad (iPad 3),21.03.2012/17:00,Обновлено: 21.03.2012 в 17:10,Сергей Кулеш,98,"Видеообзор планшета Apple New iPad (iPad 3) с уникальным Retina-дисплеем с разрешением 2048 на 1536 точек, мощной аппаратной платформой Apple A5X, усиленным аккумулятором на 42,5 Втч и прогрессивным модулем связи 4G…","
Видео
",05:00 PM 21/03/2012
4,Nokia серьезно обновила свое навигационное ПО для Windows Phone,21.03.2012/16:21,Обновлено: 21.03.2012 в 16:21,ITC.UA,13,"WP-смартфоны Nokia по своему интерфейсу и общему набору ПО мало чем отличаются от конкурирующих решений, несмотря на тесное сотрудничество финского производителя с Microsoft. К сожалению,…","
Новости
",04:21 PM 21/03/2012
5,IDC: поставки компьютерной техники в 2012 году увеличатся на 5%,21.03.2012/15:30,Обновлено: 21.03.2012 в 15:30,ITC.UA,0,"Компания IDC опубликовала данные своего долгосрочного прогноза относительно долгосрочного развития рынка компьютерной техники. Так, отмечается, что в 2012 году увеличение объемов поставок…","
Новости
",03:30 PM 21/03/2012
6,GSMA и WBA разрабатывают функцию Wi-Fi роуминга,21.03.2012/14:49,Обновлено: 21.03.2012 в 14:49,ITC.UA,3,"Организации GSMA и WBA (Wireless Broadband Alliance) объявили о начале сотрудничества с целью создать решение, которое позволит мобильным устройствам (смартфонам и планшетам) подключаться к точкам доступа…","
Новости
",02:49 PM 21/03/2012
7,Apple и Nokia вступили в борьбу за будущий стандарт nano-SIM,21.03.2012/14:14,Обновлено: 21.03.2012 в 14:43,ITC.UA,29,"Анонсированный в прошлом году новый стандарт SIM-карт, известный под названием nano-SIM, вызвал самую настоящую войну внутри мобильной индустрии. Стандарт был разработан немецкой компанией Giesecke…","
Новости
",02:14 PM 21/03/2012
8,Без рекламы Android-приложения могут быть более чем вдвое энергоэффективнее,21.03.2012/13:47,Обновлено: 21.03.2012 в 13:47,ITC.UA,19,"Команда исследователей из Университета Пердью (Purdue University) выяснила, что до 75% энергии, используемой Android-приложениями, может уходить на поддержку сопутствующих рекламных сервисов. Под…","
Новости
",01:47 PM 21/03/2012
9,Обновлено: Официальные продажи смартфонов Nokia Lumia в Украине стартуют 29-го марта,21.03.2012/13:00,Обновлено: 21.03.2012 в 14:05,ITC.UA,27,"На своей странице в Facebook компания Microsoft сообщила о том, что через 8 дней, 29-го марта в Украине состоится официальная презентация смартфонов Nokia Lumia, которые работают под управлением…","
Новости
",01:00 PM 21/03/2012
10,Мифы об  интернет-торговле. Вместо вступления,21.03.2012/12:09,Обновлено: 21.03.2012 в 12:09,Иван Марченко,138,"По просьбе редакции ITC.ua я решил начать серию публикаций в блоге на тему «Электронной торговли в Украине». Я не претендую на звание эксперта в этой области, но это направление деятельности…","
Блоги
",12:09 PM 21/03/2012
11,Обзор видеокарт AMD Radeon HD 7750 и Radeon HD 7770,21.03.2012/12:00,Обновлено: 22.09.2012 в 14:20,Олег Касич,32,"AMD продолжает расширять собственную линейку графических адаптеров, основанных на 28-нанометровых чипах с архитектурой Graphics Core Next. Вслед за топовыми решениями, компания представила…","
Обзоры
",12:00 PM 21/03/2012
12,Видеообзор SteelSeries Kana,21.03.2012/11:50,Обновлено: 21.03.2012 в 11:50,Олег Данилов,10,"Обзор игрового манипулятора SteelSeries Kana, занимающего промежуточное положение между базовой SteelSeries V2/V2 Pro и ультимативной SteelSeries Sensei.","
Видео
",11:50 AM 21/03/2012
13,Apple прореагировала на жалобы о нагреве нового iPad,21.03.2012/11:11,Обновлено: 21.03.2012 в 11:11,ITC.UA,45,"Довольно часто релиз новых продуктов Apple сопровождался некоторыми казусами, вокруг которых разворачивалась серьезная шумиха. Например, iPhone 4 терял сеть при определенном хвате аппарата. В…","
Новости
",11:11 AM 21/03/2012
14,HP представила в Украине МФУ с функцией сканирования 3D-объектов,21.03.2012/10:20,Обновлено: 21.03.2012 в 08:30,ITC.UA,11,Компания НР сообщила о скорой доступности в Украине многофункционального устройства TopShot LaserJet Pro M275. Особенностью данной новинки является возможность сканирования трехмерных объектов. МФУ…,"
Новости
",10:20 AM 21/03/2012
