,title,date,time,author,counts,sometext
0, Поезд «четырёх столиц» из Киева в Ригу через Минск и Вильнюс запустят 28 сентября, 18.07.2018 в 09:55 , Обновлено: 18.07.2018 в 10:46 ,Вадим Карпусь,   43  ," В скором времени из Киева будет запущен поезд «четырёх столиц». Он свяжет Киев и Ригу, а кроме того, будет проходить через Минск и Вильнюс. Запуск поезда запланирован на 28 сентября. Об этом…"
1, На Кубе впервые появился мобильный интернет, 18.07.2018 в 09:17 , Обновлено: 18.07.2018 в 09:34 ,Владимир Скрипин,   132  ," Хотя в это и трудно поверить, но мобильный интернет на Кубе появился только недавно. Как сообщает агентство Reuters, услуги мобильного интернета предоставляет подконтрольный государству…"
2," Вокруг Юпитера нашли еще 12 спутников, один из них вращается по наклонной к остальным орбите", 18.07.2018 в 08:36 , Обновлено: 18.07.2018 в 08:36 ,Игорь Мозуль,   8  ," Группа астрономов из Института Карнеги обнаружила 12 новых спутников Юпитера, в результате чего их общее количество теперь составляет 79. Последняя находка учёных даёт представление о том,…"
3, Deaf World – украинский видеожурнал для глухих и слабослышащих, 18.07.2018 в 08:03 , Обновлено: 18.07.2018 в 12:04 ,Владимир Скрипин,   8  ," Как стало известно, в Украине появился видеожурнал для глухих и слабослышащих. Проект Deaf World недавно стартовал как канал популярного сервиса видеостриминга YouTube. Номинально канал был создан…"
4, Samsung анонсировал новую 10 нм ОЗУ для смартфонов LPDDR5 (8 ГБ) со скоростью 6400 Мбит/с и на 30% меньшим энергопотреблением, 17.07.2018 в 20:03 , Обновлено: 17.07.2018 в 19:18 ,Сергей Кулеш,   24  ," Компания Samsung Electronics анонсировала скорый выход первых в индустрии модулей оперативной памяти LPDDR5 DRAM, выполненных по 10 нм техпроцессу. Новые ОЗУ планируется использовать в смартфонах с…"
5, QA Consultants: У AMD самые стабильные графические драйверы в отрасли, 17.07.2018 в 19:31 , Обновлено: 17.07.2018 в 19:06 ,Вадим Карпусь,   158  ," Компания QA Consultants, являющаяся независимым сторонним экспертом в сфере обеспечения качества и тестирования программного обеспечения, провела сравнительный тест графических драйверов AMD и…"
6," Процессоры Intel Coffee Lake Refresh ожидаются 1 августа, включая 8-ядерный Core i9-9900K и 6-ядерный чип с припоем под крышкой для достижения частоты 5,5 ГГц", 17.07.2018 в 19:05 , Обновлено: 17.07.2018 в 19:05 ,Вадим Карпусь,   42  ," Новая порция слухов раскрывает подробности о грядущих процессорах Intel Core 9-го поколения, также известных под кодовым названием Coffee Lake Refresh. Согласно имеющейся информации, новые чипы будут…"
7, Valve перестала добавлять в магазин Steam игры с контентом для взрослых до момента запуска новых инструментов модерации, 17.07.2018 в 18:37 , Обновлено: 17.07.2018 в 18:39 ,Сергей Кулеш,   90  ," Недавно сервис Steam заявил, что отказывается от последних изменений в политике проверки контента, которую многие инди-разработчиков игр для взрослых расценили как излишне ярую цензуру.…"
8, Обзор смартфона Meizu 15 Lite, 17.07.2018 в 18:00 , Обновлено: 17.07.2018 в 16:26 ,Виталий Богданов,   135  ," К своему 15-летнему юбилею компания Meizu приурочила выпуск трех смартфонов, в том числе и относительно бюджетного. С ним мы сегодня познакомимся. Meizu 15 Lite — это попытка дать пользователям…"
9, Adidas планирует полностью перейти на использование переработанного пластика к 2024 году, 17.07.2018 в 17:52 , Обновлено: 17.07.2018 в 20:24 ,Вадим Карпусь,   29  , Компания Adidas намерена расширить сферу применения переработанного пластика. Ранее он использовался лишь в обуви флагманской линейки. Теперь же Adidas планирует полностью перейти на…
