,title,date,time,author,counts,sometext,Date
0, Самые популярные материалы на ITC.UA в 2018 году, 31.12.2018/17:15 , Обновлено: 03.01.2019 в 11:06 ,Тарас Мищенко,   160  ," Под конец года мы традиционно рассказываем о результатах работы сайта в уходящем году и приводим некоторую занимательную статистику. Согласно Google Analytics в 2018 году ITC.UA посетило 19,9 млн…",05:15 PM 31/12/2018
1, Швейцарские инженеры тестируют робота ANYmal в условиях городской канализации, 31.12.2018/16:36 , Обновлено: 31.12.2018 в 15:38 ,Кирилл Иртлач,   3  ," Инспектирование городских канализационных систем — крайне утомительная и опасная работа: протяженность подземной инфраструктуры в большинстве городов исчисляется сотнями километров,…",04:36 PM 31/12/2018
2, В Австралии введены в эксплуатацию грузовые робопоезда, 31.12.2018/15:54 , Обновлено: 31.12.2018 в 15:36 ,Кирилл Иртлач,   42  ," Австралийская горнодобывающая компания Rio Tinto полностью роботизировала свои железнодорожные перевозки в отдельном регионе — Пилбаре, расположенном на северо-западе континента. Как…",03:54 PM 31/12/2018
3," Журналисты NYT выяснили, кому удалось заработать на падении биткоина", 31.12.2018/15:26 , Обновлено: 31.12.2018 в 15:26 ,Кирилл Иртлач,   15  ," «Зима биткоина» и его обесценивание на 80% заставили многих забыть криптовалюты как страшный сон. Впрочем, есть и те, кому на спаде рынка удалось заработать: как пишет NYT, на место…",03:26 PM 31/12/2018
4, Полиция Нью-Йорка будет охранять общественный порядок во время новогодних празднований при помощи дронов, 31.12.2018/12:08 , Обновлено: 31.12.2018 в 11:22 ,Кирилл Иртлач,   34  ," В Новый год полиция Нью-Йорка запустит беспилотники с камерами над главной площадью города Таймс-сквер. Также стражи порядка впервые опробуют новую «противодронную технологию», которая…",12:08 PM 31/12/2018
5, На Nvidia подали коллективный иск из-за заявлений касательно рынка видеокарт, 31.12.2018/11:19 , Обновлено: 31.12.2018 в 11:19 ,Кирилл Иртлач,   63  ," Американская юридическая фирма Schall Law, специализирующаяся на защите прав акционеров, объявила, что подает коллективный иск против Nvidia. Представители фирмы просят всех, кто приобрел ценные…",11:19 AM 31/12/2018
6, Выбор редакции 2018: Игры, 31.12.2018/09:00 , Обновлено: 07.01.2019 в 13:17 ,Олег Данилов,   245  ," Каждый раз при подведении итогов года мы ужасаемся количеству игр, изданных за отчетный период. Если в 2014 г. на Steam ежедневно выходило лишь 5 игр, то в 2017 г. на сервисе появлялось уже 20 игр в…",09:00 AM 31/12/2018
7, По итогам 2018 года разработчики Epic Games заработали $3 млрд, 30.12.2018/20:31 , Обновлено: 30.12.2018 в 18:32 ,Кирилл Иртлач,   86  ," Epic Games, разработчики Fortnite — самой популярной игры 2018 года, заработали в уходящем году $3 млрд. При этом стоимость самой компании в настоящее время оценивается в $15 млрд. Об этом пишет TechCrunch со…",08:31 PM 30/12/2018
8, New York Times: создатель CRISPR-детей находится под домашним арестом, 30.12.2018/18:59 , Обновлено: 30.12.2018 в 19:19 ,Кирилл Иртлач,   25  ," Журналисты газеты New York Times обнаружили китайского ученого Хэ Цзянькуя, который в ноябре заявил о рождении первых в мире CRISPR-детей, в университетской гостинице города Шэньчжэнь, где его…",06:59 PM 30/12/2018
9, Умная школьная форма не позволит китайским школьникам прогуливать уроки, 30.12.2018/18:27 , Обновлено: 30.12.2018 в 18:27 ,Кирилл Иртлач,   19  ," К тотальной слежке жителей Китая, по всей видимости, намерены приучать буквально со школьной скамьи: как сообщает китайской издание The Global Times, более десяти учебных заведений в провинции…",06:27 PM 30/12/2018
